@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3,3,4.5,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,4.8,8.16,1.7,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1571,1566,1252.8,0.8,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2908.49,2464.72,2612.6,1.06,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1402.6,1402.6,56104,40,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,8,8,14.4,1.8,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,2.5,2.5,4.5,1.8,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,5,1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,4,4,7.2,1.8,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,3,5.4,1.8,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,6.5,6.5,6.5,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',118,113,67.8,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1617.17,1164.86,1269.7,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',223,213,21297.87,99.99,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',30,29,1740,60,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,0.4,0.4,0.8,2,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,10,16,1.6,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,0.66,0.66,1.32,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,2.5,2.5,4,1.6,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5.2,5.2,5.2,1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,0.47,0.47,0.94,2,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5,5,8,1.6,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,0.56,0.56,1.12,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4.1,4.1,6.56,1.6,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,5,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,25,23,35.38,1.54,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',81,78,46.8,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1418.3,1125.29,1125.29,1,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2185,2185,109250,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5.5,5,6.5,1.3,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1,1,1.3,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,4.5,1.5,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3,2.5,3.25,1.3,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,2.5,3.25,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,2.4,1.2,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',740,635,622.3,0.98,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',86.35,72.57,100.15,1.38,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',46,40,2660,66.5,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,108,93,302,3.25,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,74,71,81,1.14,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,128,128,412,3.22,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,104,104,124,1.19,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1510.48,1151.22,1047.61,0.91,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',10,10,750,75,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,4,4,7.6,1.9,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,2,2,3.8,1.9,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,10,10,17.48,1.75,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,1.9,19,10,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',130,128,108.8,0.85,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',449.69,350.97,477.32,1.36,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2892.8,2862.8,312274.22,109.08,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',145,140,1820,13,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1,1,2,2,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,15,15,105,7,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,2,1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2,2,4,2,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,15,15,105,7,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,1,0.5,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',101,81,48.6,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',4765.43,3386.54,4076.85,1.2,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',15,15,1200,80,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3,12,24,2,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,8,1.6,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,6,3,6,2,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,15,14,28,2,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',4059.6,3177.86,3036.19,0.96,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',505,505,40400,80,'Saccharum officinarum L.','Cana o verde'
Fique,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2,2,2,1,'Furcraea gigantea',Otros
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,34,5,10,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,14,4,8,2,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,35,35,49.07,1.4,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,32,32,35.2,1.1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,28,32,64,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,20,14,28,2,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,35,35,49.07,1.4,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,32,32,35.2,1.1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',408,408,204,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',5264.39,4045.6,4757.89,1.18,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',51,51,5049,99,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',94,94,3384,36,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,8,8,40,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,17,16,80,5,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,6,5.5,8.25,1.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,3.2,4.8,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,9,5.7,7.41,1.3,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,8,8,42.4,5.3,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,12,16,24,1.5,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,4,5,26.5,5.3,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,4,6,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2.1,1.9,2.47,1.3,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1581.8,1289.04,1263.2,0.98,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',50,50,3250,65,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,9,7.05,0.78,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,2,1.57,0.78,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,9,6,5.89,0.98,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,6,5,10.49,2.1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,9,6.29,0.7,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,2,1.4,0.7,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,9,6,12,2,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,6,5,10.49,2.1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',704,696.5,626.85,0.9,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2568.45,1950.93,2272.09,1.16,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',206,192,15360,80,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',40.5,35.5,355,10,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,10,10,50,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,0,14,42,3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,1.2,0.4,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,4,10,50,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,0,0,0,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,6,3,1.2,0.4,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',31,31,27.9,0.9,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3801.83,2487.43,2539.68,1.02,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',66,66,2970,45,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,10,0,0,0,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2,1,0.84,0.84,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1,0.5,1.5,3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,1,1,0.84,0.84,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1,2,1.68,0.84,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,10,10,100,10,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1,1,0.84,0.84,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,1,1,0.84,0.84,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1942.67,1528.17,1763.99,1.15,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1642,1622,77856,48,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,32.5,30,29.36,0.98,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,32.5,30,25.17,0.84,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,25,23,32.17,1.4,'Phaseolus sp.','Grano seco'
'Palma de aceite',Permanente,Oleaginosas,Oleaginosas,70,70,195.82,2.8,'Elaeis guineensis Jacq.',Otros
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,21,19,23.75,1.25,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.9,1.9,1.12,0.59,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,6,6,6,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4,4,4,1,'Zea mays','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',24,18,10.8,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',940.02,713.38,687.46,0.96,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',107,107,8560,80,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,12,6,9.6,1.6,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,15,6,7.8,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,18,18,19.8,1.1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,6,12,19.2,1.6,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,12,15,19.5,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,15,14,18.2,1.3,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3169.85,2547.13,2851.53,1.12,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',669,669,33450,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5,2,2.57,1.28,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,4.5,4.5,7.87,1.75,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5,5,8.98,1.8,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,6,6,9.9,1.65,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',391.75,342.35,292.83,0.86,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',84,84,4200,50,'Saccharum officinarum L.','Cana o verde'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',141,131,78.6,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2789.79,2322.55,2080.92,0.9,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',157,157,18840,120,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2,1.7,1.7,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.5,1.4,1.4,1,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,1.5,1.5,1.05,0.7,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1.7,2,2,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.4,0.5,0.5,1,'Zea mays','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',173.61,143.56,135.09,0.94,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',22,21,1890,90,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,4,4,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,9,3.5,3.5,1,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,12,12,24,2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,8,10,10,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4,9,9,1,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,4,4,8,2,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,13,13,14.3,1.1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',63,60,36,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2625.64,1956.56,2715.21,1.39,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',477,462,23100,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3,0,0,0,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,6,6,8.41,1.4,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,10.49,2.1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3,3,2.52,0.84,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,6,6,9.11,1.52,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,12.24,2.45,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',709,619,371.4,0.6,'Theobrama cacao L.','Grano seco'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',8,6,510,85,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2.2,1.6,4,2.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.5,1.3,3.25,2.5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2.2,2.2,5.5,2.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.8,0.5,1.25,2.5,'Zea mays','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3180.94,2360.12,2173.81,0.92,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',200,200,10000,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,89,52,104,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,21,42,63,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,95,98,196,2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,56,85,170,2,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,20,19,28.5,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,100,94,188,2,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',75,70,35,0.5,'Theobrama cacao L.','Grano seco'
